Crime_Description,Location,Timestamp,Victim_Age,Victim_Gender
Someone stole my phone from my house,Mumbai,15-04-2023 09:30,45,Male
A woman was assaulted on a busy street,Delhi,15-04-2023 14:45,28,Female
Fraudulent charges appeared on my bank account,Bangalore,15-04-2023 16:20,35,Male
A bomb threat was called in to a local government office,Hyderabad,15-04-2023 18:00,30,Female
Someone broke into my car and stole my music system,Chennai,15-04-2023 20:30,22,Male
A group of teenagers vandalized a local temple,Kolkata,16-04-2023 10:15,19,Female
A woman reported being sexually harassed on public transport,Mumbai,16-04-2023 12:00,50,Male
A man was arrested for selling drugs at a local market,Delhi,16-04-2023 15:45,12,Female
Someone hacked into my email account,Bangalore,16-04-2023 17:30,42,Male
A fire was intentionally set at a local business,Hyderabad,16-04-2023 20:00,17,Female
A woman reported being followed by a stranger on a bike,Chennai,17-04-2023 09:00,24,Female
A man was caught stealing from a department store,Kolkata,17-04-2023 11:30,32,Female
A hate crime was committed against a local mosque,Mumbai,17-04-2023 13:15,27,Male
A man was arrested for driving under the influence of alcohol,Delhi,17-04-2023 16:45,18,Male
Someone reported finding a suspicious package in a train station,Bangalore,17-04-2023 19:30,37,Male
